entity_id,class_name,class_qcode
Q16203108,human,Q5
Q5497486,human,Q5
Q4983111,human,Q5
Q4910934,human,Q5
Q16593593,human,Q5
Q36835724,human,Q5
Q16177031,human,Q5
Q5565505,human,Q5
Q15998036,human,Q5
Q24284545,human,Q5
Q110287,human,Q5
Q15658202,human,Q5
Q3371430,human,Q5
Q3101059,human,Q5
Q4363857,human,Q5
Q5115367,human,Q5
Q6763841,human,Q5
Q5576388,human,Q5
Q3302142,human,Q5
Q6106726,human,Q5
Q1933404,human,Q5
Q22002436,human,Q5
Q2078361,human,Q5
Q6214369,human,Q5
Q16736664,human,Q5
Q5234230,human,Q5
Q15528441,human,Q5
Q7410027,human,Q5
Q26715246,human,Q5
Q41573704,human,Q5
Q11833457,human,Q5
Q374579,human,Q5
Q7035389,human,Q5
Q3057281,human,Q5
Q21664220,human,Q5
Q16146802,human,Q5
Q6535211,human,Q5
Q6988479,human,Q5
Q5145280,human,Q5
Q1056870,human,Q5
Q1670854,human,Q5
Q851315,human,Q5
Q14951488,human,Q5
Q36266852,human,Q5
Q27554729,human,Q5
Q23714987,human,Q5
Q4442571,human,Q5
Q14950835,human,Q5
Q16732330,human,Q5
Q1363402,human,Q5
Q6768751,human,Q5
Q5441095,human,Q5
Q570580,human,Q5
Q7945340,human,Q5
Q16213128,human,Q5
Q5354267,human,Q5
Q5252668,human,Q5
Q28037319,human,Q5
Q6808003,human,Q5
Q37428217,human,Q5
Q7448373,human,Q5
Q7287946,human,Q5
Q10886323,human,Q5
Q2812895,human,Q5
Q2955909,human,Q5
Q6698908,human,Q5
Q7039956,human,Q5
Q7937797,human,Q5
Q21997610,human,Q5
Q365281,human,Q5
Q2157414,human,Q5
Q6818917,human,Q5
Q6728687,human,Q5
Q12307979,human,Q5
Q16060101,human,Q5
Q96422,human,Q5
Q506336,human,Q5
Q3189540,human,Q5
Q2364621,human,Q5
Q6552819,human,Q5
Q6137442,human,Q5
Q6292881,human,Q5
Q1815221,human,Q5
Q5042001,human,Q5
Q6688660,human,Q5
Q20707313,human,Q5
Q3897852,human,Q5
Q1389083,human,Q5
Q87208,human,Q5
Q6249977,human,Q5
Q1536894,human,Q5
Q12301770,human,Q5
Q100719,human,Q5
Q5625751,human,Q5
Q2195465,human,Q5
Q4737565,human,Q5
Q6394671,human,Q5
Q6772059,human,Q5
Q104858,human,Q5
Q6456472,human,Q5
Q5753270,human,Q5
Q9150039,human,Q5
Q315884,human,Q5
Q6990433,human,Q5
Q426317,human,Q5
Q6144333,human,Q5
Q2912678,human,Q5
Q6383316,human,Q5
Q5145194,human,Q5
Q5112847,human,Q5
Q6392089,human,Q5
Q5292185,human,Q5
Q3170669,human,Q5
Q193236,human,Q5
Q28839616,human,Q5
Q1516922,human,Q5
Q12752358,human,Q5
Q4679449,human,Q5
Q16863402,human,Q5
Q1929752,human,Q5
Q593764,human,Q5
Q4977380,human,Q5
Q7367924,human,Q5
Q5106978,human,Q5
Q7373408,human,Q5
Q6293537,human,Q5
Q6230781,human,Q5
Q2413491,human,Q5
Q4155004,human,Q5
Q12106673,human,Q5
Q717911,human,Q5
Q878703,human,Q5
Q6375961,human,Q5
Q486895,human,Q5
Q5220820,human,Q5
Q1692198,human,Q5
Q3341166,human,Q5
Q4993295,human,Q5
Q3572842,human,Q5
Q5536201,human,Q5
Q23696679,human,Q5
Q356602,human,Q5
Q5844,human,Q5
Q5365563,human,Q5
Q22087956,human,Q5
Q7820585,human,Q5
Q7927032,human,Q5
Q28961977,human,Q5
Q461798,human,Q5
Q4951503,human,Q5
Q2343075,human,Q5
Q4705556,human,Q5
Q5290573,human,Q5
Q316799,human,Q5
Q99289,human,Q5
Q5129839,human,Q5
Q3158436,human,Q5
Q5496573,human,Q5
Q6184328,human,Q5
Q16337036,human,Q5
Q5371645,human,Q5
Q8017619,human,Q5
Q18707515,human,Q5
Q4877250,human,Q5
Q18639385,human,Q5
Q6835231,human,Q5
Q206370,human,Q5
Q6789668,human,Q5
Q3291750,human,Q5
Q24266221,human,Q5
Q5761608,human,Q5
Q7609872,human,Q5
Q7967137,human,Q5
Q675260,human,Q5
Q13562631,human,Q5
Q1027582,human,Q5
Q1401197,human,Q5
Q5244180,human,Q5
Q2960172,human,Q5
Q5559621,human,Q5
Q16083952,human,Q5
Q2964874,human,Q5
Q125010,human,Q5
Q455487,human,Q5
Q5931693,human,Q5
Q12616046,human,Q5
Q6659774,human,Q5
Q18393055,human,Q5
Q110477,human,Q5
Q4296042,human,Q5
Q5891940,human,Q5
Q689235,human,Q5
Q2159000,human,Q5
Q6933504,human,Q5
Q1995574,human,Q5
Q7407387,human,Q5
Q7342909,human,Q5
Q314032,human,Q5
Q5217712,human,Q5
Q5111788,human,Q5
Q12596933,human,Q5
Q15836492,human,Q5
Q18531161,human,Q5
Q740175,human,Q5
Q3045735,human,Q5
Q5953576,human,Q5
Q92813,human,Q5
Q6790212,human,Q5
Q7024606,human,Q5
Q86346,human,Q5
Q7183705,human,Q5
Q24006193,human,Q5
Q5335823,human,Q5
Q544125,human,Q5
Q121426,human,Q5
Q16305678,human,Q5
Q24548856,human,Q5
Q16106951,human,Q5
Q6032938,human,Q5
Q21285417,human,Q5
Q5486371,human,Q5
Q1330087,human,Q5
Q29452894,human,Q5
Q16200922,human,Q5
Q5041570,human,Q5
Q16012255,human,Q5
Q452863,human,Q5
Q7336669,human,Q5
Q21130201,human,Q5
Q743770,human,Q5
Q666495,human,Q5
Q10366737,human,Q5
Q1352925,human,Q5
Q5485276,human,Q5
Q27881462,human,Q5
Q3045139,human,Q5
Q15229674,human,Q5
Q3525478,human,Q5
Q301136,human,Q5
Q9088125,human,Q5
Q831209,human,Q5
Q6195033,human,Q5
Q5224729,human,Q5
Q216723,human,Q5
Q630350,human,Q5
Q2562189,human,Q5
Q23771695,human,Q5
Q2909722,human,Q5
Q16844346,human,Q5
Q3725617,human,Q5
Q18716029,human,Q5
Q16873234,human,Q5
Q7279130,human,Q5
Q24055504,human,Q5
Q6951790,human,Q5
Q19624432,human,Q5
Q20858339,human,Q5
Q518922,human,Q5
Q4686977,human,Q5
Q6272804,human,Q5
Q2833250,human,Q5
Q5024343,human,Q5
Q5606201,human,Q5
Q1802786,human,Q5
Q25468769,human,Q5
Q4260716,human,Q5
Q27922582,human,Q5
Q7382579,human,Q5
Q240663,human,Q5
Q4933350,human,Q5
Q2406660,human,Q5
Q38013932,human,Q5
Q5593049,human,Q5
Q3159898,human,Q5
Q4679178,human,Q5
Q2927773,human,Q5
Q6233710,human,Q5
Q26807821,human,Q5
Q3216930,human,Q5
Q5997864,human,Q5
Q7239719,human,Q5
Q12609959,human,Q5
Q13560901,human,Q5
Q3737398,human,Q5
Q16731323,human,Q5
Q25324754,human,Q5
Q360005,human,Q5
Q974731,human,Q5
Q329800,human,Q5
Q339375,human,Q5
Q2870948,human,Q5
Q21077925,human,Q5
Q5980963,human,Q5
Q19282382,human,Q5
Q3497915,human,Q5
Q16011960,human,Q5
Q88926,human,Q5
Q22008791,human,Q5
Q6080576,human,Q5
Q3766604,human,Q5
Q28967443,human,Q5
Q4954870,human,Q5
Q3379075,human,Q5
Q3144716,human,Q5
Q289313,human,Q5
Q6470148,human,Q5
Q5386285,human,Q5
Q509477,human,Q5
Q20088803,human,Q5
Q5257641,human,Q5
Q1480556,human,Q5
Q28004572,human,Q5
Q20090515,human,Q5
Q6962702,human,Q5
Q4705922,human,Q5
Q7077752,human,Q5
Q18385395,human,Q5
Q5715283,human,Q5
Q5215774,human,Q5
Q3568512,human,Q5
Q7348156,human,Q5
Q3759445,human,Q5
Q2834524,human,Q5
Q1314028,human,Q5
Q7357008,human,Q5
Q5258356,human,Q5
Q7141956,human,Q5
Q7147053,human,Q5
Q5584434,human,Q5
Q7397978,human,Q5
Q331947,human,Q5
Q27922614,human,Q5
Q3558712,human,Q5
Q17285335,human,Q5
Q4356588,human,Q5
Q5233654,human,Q5
Q5077384,human,Q5
Q4912709,human,Q5
Q2586448,human,Q5
Q20657538,human,Q5
Q11868082,human,Q5
Q618349,human,Q5
Q6505156,human,Q5
Q1657297,human,Q5
Q8272084,human,Q5
Q3266702,human,Q5
Q3806882,human,Q5
Q3102543,human,Q5
Q26178837,human,Q5
Q1239307,human,Q5
Q19600394,human,Q5
Q16202599,human,Q5
Q1703782,human,Q5
Q19648737,human,Q5
Q5724297,human,Q5
Q6380220,human,Q5
Q2704270,human,Q5
Q960589,human,Q5
Q11220873,human,Q5
Q4410443,human,Q5
Q6932746,human,Q5
Q549848,human,Q5
Q3036093,human,Q5
Q7615330,human,Q5
Q4975813,human,Q5
Q2165640,human,Q5
Q2294382,human,Q5
Q1189301,human,Q5
Q363965,human,Q5
Q7364974,human,Q5
Q1565115,human,Q5
Q234370,human,Q5
Q6135148,human,Q5
Q7323822,human,Q5
Q6173112,human,Q5
Q6234607,human,Q5
Q1533960,human,Q5
Q714304,human,Q5
Q6243352,human,Q5
Q17198398,human,Q5
Q6258753,human,Q5
Q7377712,human,Q5
Q23418938,human,Q5
Q2266256,human,Q5
Q533486,human,Q5
Q2821719,human,Q5
Q4185144,human,Q5
Q6239279,human,Q5
Q1240121,human,Q5
Q1158992,human,Q5
Q28051723,human,Q5
Q2791598,human,Q5
Q18921724,human,Q5
Q5083474,human,Q5
Q5082589,human,Q5
Q7340078,human,Q5
Q6140121,human,Q5
Q6766606,human,Q5
Q7845457,human,Q5
Q678861,human,Q5
Q7636704,human,Q5
Q15081269,human,Q5
Q16841992,human,Q5
Q3085533,human,Q5
Q5107055,human,Q5
Q7344263,human,Q5
Q7966136,human,Q5
Q12055258,human,Q5
Q1064435,human,Q5
Q6508160,human,Q5
Q1268637,human,Q5
Q2071797,human,Q5
Q8016459,human,Q5
Q17011451,human,Q5
Q4965602,human,Q5
Q67557,human,Q5
Q6776669,human,Q5
Q2995052,human,Q5
Q77902,human,Q5
Q1676912,human,Q5
Q616960,human,Q5
Q7964642,human,Q5
Q29887873,human,Q5
Q283496,human,Q5
Q6525220,human,Q5
Q3056160,human,Q5
Q18819231,human,Q5
Q1200277,human,Q5
Q6262690,human,Q5
Q5341927,human,Q5
Q6148528,human,Q5
Q467536,human,Q5
Q1790456,human,Q5
Q954841,human,Q5
Q5021853,human,Q5
Q5542858,human,Q5
Q3103859,human,Q5
Q4566966,human,Q5
Q16855179,human,Q5
Q28023788,human,Q5
Q1586673,human,Q5
Q3610413,human,Q5
Q7606092,human,Q5
Q19398923,human,Q5
Q16839010,human,Q5
Q7816964,human,Q5
Q5237304,human,Q5
Q1176045,human,Q5
Q7380981,human,Q5
Q1507329,human,Q5
Q25189766,human,Q5
Q5557790,human,Q5
Q5617339,human,Q5
Q1541271,human,Q5
Q10644153,human,Q5
Q15807807,human,Q5
Q4219124,human,Q5
Q4859942,human,Q5
Q23762564,human,Q5
Q28957373,human,Q5
Q5298648,human,Q5
Q5320155,human,Q5
Q1063642,human,Q5
Q7804080,human,Q5
Q4706351,human,Q5
Q662100,human,Q5
Q26704429,human,Q5
Q5486712,human,Q5
Q1388666,human,Q5
Q91989,human,Q5
Q6749491,human,Q5
Q18921490,human,Q5
Q5603413,human,Q5
Q7813654,human,Q5
Q10518079,human,Q5
Q123515,human,Q5
Q6376446,human,Q5
Q17099936,human,Q5
Q385702,human,Q5
Q6776995,human,Q5
Q7349846,human,Q5
Q42903535,human,Q5
Q5342783,human,Q5
Q16239432,human,Q5
Q6226088,human,Q5
Q2628266,human,Q5
Q7322082,human,Q5
Q3683287,human,Q5
Q7029452,human,Q5
Q18977905,human,Q5
Q6267240,human,Q5
Q16012534,human,Q5
Q5616332,human,Q5
Q16180477,human,Q5
Q551630,human,Q5
Q17608779,human,Q5
Q6696343,human,Q5
Q6540209,human,Q5
Q1332628,human,Q5
Q1446995,human,Q5
Q5415317,human,Q5
Q3876089,human,Q5
Q30174692,human,Q5
Q4756591,human,Q5
Q5716523,human,Q5
Q13605354,human,Q5
Q2740330,human,Q5
Q5338914,human,Q5
Q16010034,human,Q5
Q4685185,human,Q5
Q48828,human,Q5
Q42593285,human,Q5
Q1342732,human,Q5
Q7350765,human,Q5
Q3537602,human,Q5
Q20675607,human,Q5
Q21079182,human,Q5
Q6245426,human,Q5
Q24004742,human,Q5
Q3814232,human,Q5
Q13450314,human,Q5
Q5040085,human,Q5
Q6757906,human,Q5
Q272349,human,Q5
Q6133297,human,Q5
Q3850176,human,Q5
Q18926735,human,Q5
Q2695494,human,Q5
Q1044332,human,Q5
Q553197,human,Q5
Q5927161,human,Q5
Q4572947,human,Q5
Q4579585,human,Q5
Q55706,human,Q5
Q15445855,human,Q5
Q6053860,human,Q5
Q7435891,human,Q5
Q94273,human,Q5
Q1393849,human,Q5
Q5187546,human,Q5
Q6176354,human,Q5
Q708144,human,Q5
Q3100782,human,Q5
Q6136932,human,Q5
Q2168208,human,Q5
Q5941471,human,Q5
Q19875291,human,Q5
Q589762,human,Q5
Q21931874,human,Q5
Q5301241,human,Q5
Q4963230,human,Q5
Q4680080,human,Q5
Q16090076,human,Q5
Q37935318,human,Q5
Q5387917,human,Q5
Q16193691,human,Q5
Q1777693,human,Q5
Q41790038,human,Q5
Q1895684,human,Q5
Q97431,human,Q5
Q11036091,human,Q5
Q16194044,human,Q5
Q2995019,human,Q5
Q860271,human,Q5
Q557185,human,Q5
Q5344618,human,Q5
Q18528778,human,Q5
Q21018706,human,Q5
Q25438447,human,Q5
Q16213737,human,Q5
Q7326453,human,Q5
Q5544873,human,Q5
Q7361942,human,Q5
Q8007101,human,Q5
Q4665755,human,Q5
Q16208925,human,Q5
Q21597689,human,Q5
Q2396393,human,Q5
Q16062481,human,Q5
Q1429189,human,Q5
Q6968636,human,Q5
Q16843121,human,Q5
Q2498268,human,Q5
Q181690,human,Q5
Q543719,human,Q5
Q125945,human,Q5
Q16215605,human,Q5
Q210879,human,Q5
Q457291,human,Q5
Q4818147,human,Q5
Q7647461,human,Q5
Q7558600,human,Q5
Q5512557,human,Q5
Q21176458,human,Q5
Q7424447,human,Q5
Q18166245,human,Q5
Q6115223,human,Q5
Q7793236,human,Q5
Q27924024,human,Q5
Q1181097,human,Q5
Q6891670,human,Q5
Q5585761,human,Q5
Q437710,human,Q5
Q4459252,human,Q5
Q4723625,human,Q5
Q186146,human,Q5
Q464181,human,Q5
Q4933683,human,Q5
Q2030384,human,Q5
Q5344267,human,Q5
Q7609799,human,Q5
Q24203547,human,Q5
Q18245168,human,Q5
Q1962550,human,Q5
Q7330191,human,Q5
Q5867521,human,Q5
Q4900603,human,Q5
Q16069829,human,Q5
Q5343954,human,Q5
Q6378022,human,Q5
Q19663873,human,Q5
Q221497,human,Q5
Q6096793,human,Q5
Q19667093,human,Q5
Q4755329,human,Q5
Q7994097,human,Q5
Q3189341,human,Q5
Q16729419,human,Q5
Q12644883,human,Q5
Q19889542,human,Q5
Q15965005,human,Q5
Q16229628,human,Q5
Q6536643,human,Q5
Q5539554,human,Q5
Q1439430,human,Q5
Q3560705,human,Q5
Q504313,human,Q5
Q5702692,human,Q5
Q1399793,human,Q5
Q302270,human,Q5
Q20676717,human,Q5
Q1680500,human,Q5
Q29867516,human,Q5
Q27922594,human,Q5
Q3139024,human,Q5
Q15512825,human,Q5
Q522956,human,Q5
Q4842658,human,Q5
Q10481437,human,Q5
Q118041,human,Q5
Q7377406,human,Q5
Q7154185,human,Q5
Q3311509,human,Q5
Q15841687,human,Q5
Q14203759,human,Q5
Q22958104,human,Q5
Q21621779,human,Q5
Q880509,human,Q5
Q6255262,human,Q5
Q27824170,human,Q5
Q7411522,human,Q5
Q17057004,human,Q5
Q15707351,human,Q5
Q3179650,human,Q5
Q7433741,human,Q5
Q16197206,human,Q5
Q24059,human,Q5
Q27889974,human,Q5
Q41672343,human,Q5
Q7608673,human,Q5
Q6321578,human,Q5
Q21009720,human,Q5
Q7154022,human,Q5
Q5042141,human,Q5
Q22117157,human,Q5
Q1981016,human,Q5
Q6492626,human,Q5
Q24398852,human,Q5
Q6208922,human,Q5
Q8001963,human,Q5
Q27827543,human,Q5
Q6810863,human,Q5
Q42411116,human,Q5
Q694168,human,Q5
Q16007499,human,Q5
Q12067393,human,Q5
Q7273774,human,Q5
Q7410100,human,Q5
Q6788429,human,Q5
Q17466123,human,Q5
Q19667778,human,Q5
Q30069030,human,Q5
Q712158,human,Q5
Q6305021,human,Q5
Q23306222,human,Q5
Q120266,human,Q5
Q1373202,human,Q5
Q7032675,human,Q5
Q5258406,human,Q5
Q5443998,human,Q5
Q239657,human,Q5
Q11382246,human,Q5
Q7356026,human,Q5
Q23059545,human,Q5
Q5605412,human,Q5
Q21033869,human,Q5
Q24039803,human,Q5
Q7640381,human,Q5
Q6529030,human,Q5
Q433733,human,Q5
Q333056,human,Q5
Q251454,human,Q5
Q2631914,human,Q5
Q313686,human,Q5
Q28101908,human,Q5
Q7267617,human,Q5
Q42310488,human,Q5
Q3260954,human,Q5
Q6451331,human,Q5
Q451051,human,Q5
Q569464,human,Q5
Q29044350,human,Q5
Q5258392,human,Q5
Q429111,human,Q5
Q16729558,human,Q5
Q6184306,human,Q5
Q529393,human,Q5
Q5079445,human,Q5
Q22002472,human,Q5
Q6768607,human,Q5
Q20736576,human,Q5
Q28852996,human,Q5
Q20873877,human,Q5
Q3601683,human,Q5
Q646687,human,Q5
Q323867,human,Q5
Q42160885,human,Q5
Q28017224,human,Q5
Q7411354,human,Q5
Q8019003,human,Q5
Q19957267,human,Q5
Q5241664,human,Q5
Q22810309,human,Q5
Q6388446,human,Q5
Q19519890,human,Q5
Q7178519,human,Q5
Q16224856,human,Q5
Q8078119,human,Q5
Q706693,human,Q5
Q6123824,human,Q5
Q20739718,human,Q5
Q437105,human,Q5
Q19061,human,Q5
Q4794557,human,Q5
Q369109,human,Q5
Q674232,human,Q5
Q1685524,human,Q5
Q7931807,human,Q5
Q7035112,human,Q5
Q7788839,human,Q5
Q28935107,human,Q5
Q763107,human,Q5
Q16136766,human,Q5
Q61558,human,Q5
Q14646662,human,Q5
Q446520,human,Q5
Q2606854,human,Q5
Q5145265,human,Q5
Q4727506,human,Q5
Q5240868,human,Q5
Q6267668,human,Q5
Q16744732,human,Q5
Q7562013,human,Q5
Q13377499,human,Q5
Q5445364,human,Q5
Q7051538,human,Q5
Q4756434,human,Q5
Q4889458,human,Q5
Q5314926,human,Q5
Q21997104,human,Q5
Q28474425,human,Q5
Q18358841,human,Q5
Q5242606,human,Q5
Q19957310,human,Q5
Q6173889,human,Q5
Q15864814,human,Q5
Q6261342,human,Q5
Q6378279,human,Q5
Q32537994,human,Q5
Q2319515,human,Q5
Q6912538,human,Q5
Q6214960,human,Q5
Q4898303,human,Q5
Q5273050,human,Q5
Q5726156,human,Q5
Q4291624,human,Q5
Q12285988,human,Q5
Q4693626,human,Q5
Q20687452,human,Q5
Q7328985,human,Q5
Q6369669,human,Q5
Q16149454,human,Q5
Q16194199,human,Q5
Q20983345,human,Q5
Q2017303,human,Q5
Q30165999,human,Q5
Q1237219,human,Q5
Q4684207,human,Q5
Q3318357,human,Q5
Q15997740,human,Q5
Q5344819,human,Q5
Q208220,human,Q5
Q7529514,human,Q5
Q89569,human,Q5
Q798007,human,Q5
Q7665090,human,Q5
Q4668044,human,Q5
Q1306964,human,Q5
Q8017070,human,Q5
Q7787074,human,Q5
Q359894,human,Q5
Q1797226,human,Q5
Q503389,human,Q5
Q7167239,human,Q5
Q5082326,human,Q5
Q27101918,human,Q5
Q4762425,human,Q5
Q335904,human,Q5
Q7186351,human,Q5
Q4765664,human,Q5
Q7981386,human,Q5
Q2939353,human,Q5
Q6766755,human,Q5
Q869044,human,Q5
Q6524392,human,Q5
Q7512037,human,Q5
Q6708928,human,Q5
Q18619405,human,Q5
Q18348587,human,Q5
Q3109563,human,Q5
Q5080969,human,Q5
Q3023200,human,Q5
Q5515920,human,Q5
Q20740613,human,Q5
Q4951904,human,Q5
Q5423897,human,Q5
Q704722,human,Q5
Q1849103,human,Q5
Q18637572,human,Q5
Q5944263,human,Q5
Q7660976,human,Q5
Q24266307,human,Q5
Q2598782,human,Q5
Q16605336,human,Q5
Q13560396,human,Q5
Q13030872,human,Q5
Q8331964,human,Q5
Q6681651,human,Q5
Q18749109,human,Q5
Q7903680,human,Q5
Q17182897,human,Q5
Q16825245,human,Q5
Q5090749,human,Q5
Q4955010,human,Q5
Q817230,human,Q5
Q3755493,human,Q5
Q5094167,human,Q5
Q5236099,human,Q5
Q5545044,human,Q5
Q6111990,human,Q5
Q5487829,human,Q5
Q7782883,human,Q5
Q16043773,human,Q5
Q18217675,human,Q5
Q5550721,human,Q5
Q6209658,human,Q5
Q3473403,human,Q5
Q5720869,human,Q5
Q7259392,human,Q5
Q2742943,human,Q5
Q3555906,human,Q5
Q6755600,human,Q5
Q16302090,human,Q5
Q17081398,human,Q5
Q5217816,human,Q5
Q1580887,human,Q5
Q706652,human,Q5
Q28968116,human,Q5
Q6697001,human,Q5
Q1191193,human,Q5
Q6375337,human,Q5
Q5339369,human,Q5
Q370264,human,Q5
Q15459832,human,Q5
Q1670584,human,Q5
Q7184790,human,Q5
Q6195105,human,Q5
Q6778107,human,Q5
Q12609899,human,Q5
Q881532,human,Q5
Q6475044,human,Q5
Q6388732,human,Q5
Q455789,human,Q5
Q371336,human,Q5
Q16202068,human,Q5
Q3497890,human,Q5
Q29440825,human,Q5
Q527137,human,Q5
Q4799317,human,Q5
Q4133235,human,Q5
Q97948,human,Q5
Q1441149,human,Q5
Q6710693,human,Q5
Q2900956,human,Q5
Q7945885,human,Q5
Q117751,human,Q5
Q21932025,human,Q5
Q16187270,human,Q5
Q7599575,human,Q5
Q3087706,human,Q5
Q4931892,human,Q5
Q6844775,human,Q5
Q376394,human,Q5
Q12309671,human,Q5
Q15454286,human,Q5
Q17479542,human,Q5
Q368492,human,Q5
Q6271562,human,Q5
Q7705403,human,Q5
Q28967989,human,Q5
Q36742,human,Q5
Q5348229,human,Q5
Q6949538,human,Q5
Q510607,human,Q5
Q2054763,human,Q5
Q8021736,human,Q5
Q5535967,human,Q5
Q1586696,human,Q5
Q14600821,human,Q5
Q5490190,human,Q5
Q2427837,human,Q5
Q1835440,human,Q5
Q5492841,human,Q5
Q8029996,human,Q5
Q7027910,human,Q5
Q4695504,human,Q5
Q7648658,human,Q5
Q28008580,human,Q5
Q575936,human,Q5
Q7351448,human,Q5
Q6759340,human,Q5
Q1310493,human,Q5
Q11998384,human,Q5
Q714135,human,Q5
Q6167745,human,Q5
Q4964799,human,Q5
Q4284800,human,Q5
Q4705134,human,Q5
Q5246357,human,Q5
